Prompt,Detections,Average Confidence,Maximum Confidence,Minimum Confidence,Variance,Inference Time (s),Model Latency (s)
phone,5,0.32,0.418,0.215,0.005,12.532,12.529
mobile phone,5,0.285,0.368,0.201,0.003,16.739,16.739
smartphone,6,0.318,0.459,0.112,0.013,14.917,14.917
cell phone,7,0.294,0.468,0.1,0.017,15.467,15.467
black mobile phone,6,0.319,0.486,0.106,0.014,14.793,14.79
phones,6,0.401,0.524,0.136,0.017,14.971,14.971
